Report,Label,Printed title / caption,Section no.,Section title,Subsection no.,Subsection title,Printed page,Rows (data),Columns,Domain sheet,Domain,Source note as printed,Export line no.
BARMM,ANNEX B,"Each of the four volumes carries its own validation programme, structured for completion within ninety days of adoption by the responsible health board, and none requires capital expenditure. The table consolidates the twenty-nine tasks in those four programmes into nineteen, and separates what the jurisdictions owe from what the Ministry owes. Ten of the nineteen require Ministry initiation or coordination; those are the rows prefixed M, and the four capital programmes are contingent on them.",B,Annex B — Consolidated ninety-day programme,,,39.0,19,6,D14,"Annexes, master tables and gap registers",,934
BARMM,ANNEX C,"Sixty items are recorded across the four volumes’ own gap registers. The fourteen below are those that recur in two or more jurisdictions, or that a single jurisdiction identifies as decisive. They are ordered by consequence. Twelve of the fourteen are documents retrievable by written request; two require field collection; none requires a new research design.",C,Annex C — Regional evidence gap register,,,41.0,14,4,D14,"Annexes, master tables and gap registers",,964
BARMM,ANNEX D,"The four volumes were built sequentially and each corrected findings in its predecessors. Eleven divergences remain unresolved between them. They are recorded here rather than adjudicated, because resolving them requires a source the consolidation does not hold. Item 2 is load-bearing: it determines whether any jurisdiction in the series can state its leading causes of death.",D,Annex D — Divergences between the four volumes,,,42.0,11,5,D14,"Annexes, master tables and gap registers",,989
LDS,(unlabelled),# 1 Executive Summary,1,Executive Summary,,,4.0,0,7,D01,Executive summary and headline panels,,190
LDS,(unlabelled),| 11licensed hospitals |,1,Executive Summary,,,4.0,0,7,D07,Referral and inpatient capacity,,202
LDS,EXHIBIT 1,"The five stages, and what fails at each one",1,Executive Summary,,Six findings,4.0,5,4,D01,Executive summary and headline panels,"Note. Each claim is evidenced in the section indicated. Adapted from Philippine Statistics Authority (2025c); Philippine Statistics Authority and ICF (2023); Department of Health (n.d.-a, 2020b, 2022); Philippine Health Insurance Corporation (2024); World Bank (2019); and International Organization for Migration (2026a).",241
LDS,TABLE 2,Completion of required worksheet outputs across the cohort,2,"Program, Scope, Evidence and Method",,,8.0,4,4,D02,"Evidence base, scope and method",,274
LDS,TABLE 1,The five evidence layers and what each can carry,2,"Program, Scope, Evidence and Method",2.2,The five evidence layers,8.0,5,5,D02,"Evidence base, scope and method",,292
LDS,(unlabelled),"The 407 cleaned service-location records filed by fifteen local government units, resolved into three components. Source: EBDM worksheet package, 20260629.",2,"Program, Scope, Evidence and Method",2.4,From the Executive Workshop on Evidence-based Decision Making (BRIGHT BARMM),9.0,0,2,D02,"Evidence base, scope and method",,320
LDS,TABLE 2,"Leading causes of morbidity and mortality, Lanao del Sur",3,Stage One — The Illness,3.1,The provincial cause profile,11.0,10,4,D03,Disease burden and service coverage,"Note. Adapted from World Bank (2019, Table 41, p. 113), reporting Department of Health–ARMM data. Bold entries are non-communicable or trauma causes. No year is stated for the underlying data; the source notes that collection took place during the conflict period, and the profile should be treated as circa 2016–2018.",340
LDS,EXHIBIT 2,Child deaths in BARMM fall after the first month rather than during it,3,Stage One — The Illness,3.2,The child-survival signature,12.0,0,2,D03,Disease burden and service coverage,"Note. Deaths per 1,000 live births. Adapted from Philippine Statistics Authority and ICF (2023, Tables 8.1 and 8.3). The figures are historical 2022 regional estimates: BARMM rates use a ten-year reference period, while national comparators use five years. Under-five mortality was 28 per 1,000. In the published tables, 98 children and 188 births are weighted denominators; 180 children and 345 births are the corresponding unweighted cases. The latest 2025 NDHS key indicators do not provide an updated regional child-mortality series.",372
LDS,EXHIBIT 4,"The measles chain: a survey finding, an outbreak, and thirteen deaths",3,Stage One — The Illness,3.4,The 2023–2024 measles outbreak,15.0,8,4,D03,Disease burden and service coverage,"Note. Adapted from Philippine Statistics Authority and ICF (2023, Table 10.4.2); Department of Health (n.d.-a); UNICEF Philippines (2024); and Bangsamoro Information Office (2024). The Provincial Health Officer II of Lanao del Sur is quoted attributing the outbreak to “the decline of our immunization rate here in Lanao del Sur” (Bangsamoro Information Office, 2024). The Regional Darul Ifta’ issued a fatwa declaring the vaccines halal — a documented and replicable demand-side intervention.",416
LDS,(unlabelled),"Facility counts and travel times answer different questions, and the province needs both. A registration is not a building, a building within reach is not an open service, and an open service is not necessarily ready to treat the patient in front of it. The multimodal accessibility model of 8 August 2026 separates these questions for the first time. Its central result is that physical proximity is not, on the assumptions used, the constraint that binds for most of Lanao del Sur. Section 4.3 sets out a consistency test that qualifies how far that result can be carried.",4,"Primary-Care Access: physical, effective and registered",4.0,Physical and effective access: what the model establishes,17.0,0,5,D04,"First contact, facilities and catchment","Note. Adapted from the Lanao del Sur multimodal and effective primary-care accessibility model (International Organization for Migration, 2026b). Population uses the GeoRisk/PSA 2020 modeled base of 1,195,518 across 1,159 demand nodes against 184 barangay health station and rural health unit supply points. The supply set requires reconciliation: the project-held facility register carries 128 barangay health stations and 44 rural health units, or 172 supply points, and the derivation of the further 12 used by the model is not documented in the material reviewed. The 2024 equivalent of the physical gap is 132,217 by proportional scaling to 1,368,137; it is not a barangay-level 2024 measurement.",450
LDS,TABLE A,The modeled gap does not vary with facility supply,4,"Primary-Care Access: physical, effective and registered",4.3,A consistency test of the modeled result,20.0,3,3,D04,"First contact, facilities and catchment","Note. Computed for this report across all 40 local government units, from the central 30-minute multimodal scenario (International Organization for Migration, 2026b) against the project-held facility register and the DOH GIDA barangay register (Department of Health, 2022). A facility-driven access result would show a positive association with barangays per supply point; the observed association is negative on both measures. The strongest association in the set is with geographic isolation.",500
LDS,(unlabelled),"Physical reach is a necessary condition, not a sufficient one. The model applies a readiness credit to a supply point only where the workshop record provides a direct municipality-and-barangay match and at least half of the planned readiness dimensions were observed — service inventory, workforce, equipment, cold chain, PhilHealth status and referral turnaround. Fifty-nine supply points have a direct match; fifty-seven meet the credit threshold.",4,"Primary-Care Access: physical, effective and registered",4.4,"Effective access, and the population the province cannot yet assess",22.0,0,7,D07,Referral and inpatient capacity,Note. Adapted from International Organization for Migration (2026b). Municipality profiles inform prioritization but do not impute facility-level credit.,529
LDS,(unlabelled),"## 4.5 What the model assumes, and what it cannot see",4,"Primary-Care Access: physical, effective and registered",4.5,"What the model assumes, and what it cannot see",22.0,0,2,D04,"First contact, facilities and catchment",Note. Adapted from International Organization for Migration (2026b). Model outputs are planning estimates and screening signals. They identify where verification and investment must begin; they do not authorize capital construction.,543
LDS,(unlabelled),"Section 17 of the Local Government Code devolves primary health care to the municipality, and national facility planning carries an expectation of one barangay health station per barangay. The PHFDP 2020 baseline measured the then-ARMM/BARMM footprint at 650 stations against 2,535 barangays, a ratio of 0.3 and a historical gap of 1,885 stations (Department of Health, 2020b, Table 6). This is a dated planning baseline, not the current 2026 regional denominator. On current PSA geography Lanao del Sur has 1,164 barangays; the project-held register matches 128 stations, subject to reconciliation.",4,"Primary-Care Access: physical, effective and registered",4.6,The facility stock,23.0,0,5,D04,"First contact, facilities and catchment",,553
LDS,TABLE 4,"First-contact infrastructure by municipality, ranked by population",4,"Primary-Care Access: physical, effective and registered",4.7,"Catchment adequacy against the 1:20,000 standard",23.0,41,10,D04,"First contact, facilities and catchment",,591
LDS,TABLE 5,The twelve most isolated municipalities,4,"Primary-Care Access: physical, effective and registered",4.8,Geographic isolation,25.0,12,8,D04,"First contact, facilities and catchment",,646
LDS,TABLE 5,"PhilHealth-accredited health care institutions, BARMM by province",5,Stage Three — Payment,5.2,The accreditation base,28.0,13,9,D06,"Payment, PhilHealth and financing","Note. Adapted from Philippine Health Insurance Corporation (2024), accredited health care institutions by province and type as of 31 July 2024. Counts are of accreditations, not distinct facilities — rural health units and Konsulta providers overlap in reality and are counted separately here. Lanao del Sur holds 24.8 percent of all BARMM accreditations and holds the region’s only Level III accredited hospital outside Cotabato City. The Integrated Provincial Health Office independently reports 36 of its 39 health units (92.3 percent) as YAKAP-accredited, 30 (76 percent) with maternity care and 28 (71 percent) with TB-DOTS (International Organization for Migration, 2026a).",704
LDS,EXHIBIT 8,"PhilHealth in Lanao del Sur: 291,084 registered, 6,250 seen",5,Stage Three — Payment,5.3,Registration without utilization,29.0,0,5,D06,"Payment, PhilHealth and financing",,739
LDS,TABLE 6,The eleven licensed hospitals of Lanao del Sur,6,Stage Four — Referral,6.1,The hospital stock and its geography,31.0,12,6,D07,Referral and inpatient capacity,,775
LDS,TABLE 6A,Licensed bed capacity by facility class and ownership,6,Stage Four — Referral,6.1,The hospital stock and its geography,31.0,7,6,D07,Referral and inpatient capacity,"Note. Compiled from the project-held DOH/HFSRB facility register against the 2024 census population of 1,368,137 (Philippine Statistics Authority, 2025c). Three of the 43 birthing-home records carry no bed value and 40 of the 44 rural health units carry none, so the total should be read as a floor rather than as a complete inventory. The reports use the acute inpatient basis of 0.75 per 1,000 where a single figure is required, and state the basis wherever a bed ratio appears.",795
LDS,TABLE 7,The FHSIS apparatus at municipal level,7,Stage Five — Follow-Up and the Record,7.2,The FHSIS apparatus,34.0,8,3,D08,"Routine reporting, FHSIS and civil registration","Note. Adapted from Ministry of Health–Bangsamoro Autonomous Region in Muslim Mindanao (n.d.) — a unit-and-resourcing survey returned by 24 Lanao del Sur local government units and scored for 27, and a reporting-performance assessment covering 33 rural health units — and from the Integrated Provincial Health Office health-systems map in International Organization for Migration (2026a). Two fields in the assessment, the data-quality score and the staffing score, are identical for all 27 Lanao del Sur units and appear to be constants rather than measurements; they are not used in this report.",850
LDS,(unlabelled),Beneath the service statistics lies a measurement constraint that bears on every rate in this document.,7,Stage Five — Follow-Up and the Record,7.3,Civil registration and the invisible denominator,35.0,0,5,D08,"Routine reporting, FHSIS and civil registration",,870
LDS,EXHIBIT 10,Five divergences between the administrative record and independent measurement,8,The Reconciliation,,,36.0,5,4,D09,Reconciliation and divergences,"Note. Sources as cited in Sections 3 to 7. Sample sizes are stated wherever a survey estimate rests on fewer than 250 unweighted cases (Philippine Statistics Authority & ICF, 2023).",900
LDS,TABLE 8,Legal obligations engaged by the findings,9,Governance and Legal Framework,,,38.0,9,4,D10,Governance and legal framework,"Note. Statutory titles, numbers and dates were verified against the Official Gazette, the Supreme Court E-Library and the published text of the Bangsamoro Parliament. Two verification caveats are carried: the enactment date of the Bangsamoro Local Governance Code (2023) could not be confirmed from a primary source — parliamentary approval on 28 September 2023 and publication in January 2024 are documented — and the effectivity date of the Local Government Code (1991) was not confirmed from the text retrieved. The substantive provisions of the Bangsamoro Local Governance Code summarized here are drawn from the project’s EBDM module materials and should be read against the published instrument before any ordinance is drafted on their basis.",925
LDS,EXHIBIT 11,Sequencing: what must be true before the next thing can work,10,"Priorities: sequencing by stage, not by sector",,,40.0,7,4,D11,Priorities and sequencing,"Note. Actions 1, 2 and 7 require no capital and can begin immediately; actions 1 and 2 are the substance of the ninety-day program in Section 11. Actions 3 and 4 are low-cost and high-certainty. Actions 5 and 6 are the capital program and are sized in Section 12.",952
LDS,TABLE 9,The validation program,11,Provincial Validation Program,,,42.0,4,5,D11,Priorities and sequencing,"Note. Capital funding is not required for any of the outlined initiatives. Tasks 1, 2, and 7 comprise analytical steps; Tasks 3, 4, and 5 deal with administrative implementation; and Task 6 mirrors previous programmatic interventions deployed during the workshop series. Initiation of the broader strategic development plan is contingent upon the successful validation of Tasks 1 and 2.",977
LDS,EXHIBIT 12,Volumetrics for the two-year program,12,"Two-Year Investment Logic, 2026–2028",12.1,Volumetrics,43.0,0,5,D12,Investment logic and volumetrics,,1005
LDS,(unlabelled),| 305geographically isolatedbarangays |,12,"Two-Year Investment Logic, 2026–2028",12.1,Volumetrics,43.0,0,5,D12,Investment logic and volumetrics,,1017
LDS,TABLE 10,"Two-year program: volumetrics, sequencing and financing route",12,"Two-Year Investment Logic, 2026–2028",12.2,The program,43.0,9,6,D12,Investment logic and volumetrics,"Note. Financing routes are named from the sources the local government units themselves cite in their two-year plans (International Organization for Migration, 2026a) and from the standing fiscal instruments established by Mandanas v. Ochoa (2018) and the Local Government Code (1991). Each plan action should be routed through the Local Investment Plan for Health, the Annual Investment Program and Sanggunian appropriation, with a specific appropriation line and amount attached. Eighty percent of actions carrying both is the benchmark proposed for the next review.",1033
LDS,ANNEX A,"Population values reconcile to the PSA 2024 Census provincial total of 1,368,137. Barangay counts in this annex sum to the 1,159 routeable 2020 model geography and must not be presented as the current administrative total; PSA currently lists 1,164 barangays. Shaded rows identify municipalities with no station matched in the project-held register. Empty cells indicate no reported figure, not zero.",A,"Annex A — Municipal master table, 40 local government units",,,49.0,41,21,D14,"Annexes, master tables and gap registers","Note. Column sources. Population and district: Philippine Statistics Authority 2024 Census and PSGC. The annex barangay column preserves the 1,159-node 2020 model geography; current administrative coverage uses 1,164 barangays and requires a five-barangay crosswalk. GIDA is the 2022 source classification. Facilities and beds are derived from the project-held DOH/HFSRB register, which appears incomplete and may understate stations. Scorecard indicators are unweighted municipal values unless stated otherwise; fully immunized child and facility delivery are from 2021 and 2018, respectively, and all others from 2022. Tuberculosis detection is a notification-to-national-incidence proxy, not a subnational incidence estimate. Six municipal immunization values above 100 per cent identify denominator defects.",1145
LDS,ANNEX B,"Modeled physical access on the central 30-minute multimodal scenario, the readiness evidence available for each municipality, and the resulting planning tier. Tiers sequence validation and planning; they do not authorize capital construction. Population is the GeoRisk/PSA 2020 modeled base, which is the base on which the model runs; it is not the 2024 census figure used elsewhere in this report.",B,Annex — Municipality access and evidence tiers,,,51.0,41,6,D14,"Annexes, master tables and gap registers","Note. Adapted from International Organization for Migration (2026b). Tier 1 — sixteen municipalities at or above ten percent modeled unserved population: field-validate routes and settlements, then interim outreach and transport, then site-specific capital only where a residual gap survives. Tier 2 — eight municipalities where readiness rather than distance is the constraint: repair, staffing, equipment, cold chain, accreditation, medicines, connectivity and referral before new construction. Tier 3 — sixteen municipalities where the first task is to complete readiness, route and identity evidence and correct registry and source gaps. No municipality currently qualifies for a monitor-and-sustain tier. Four municipalities have no local readiness source of any kind — Butig, Calanogas, Lumbatan and Lumbayanague. Bumbaran is the pre-2019 name of Amai Manabilang and is a single municipality.",1196
LDS,ANNEX C,"The following items could not be obtained. Each is recorded with the office from which it should be requested. In a province where no municipality-level health outcome data is available in any public source, the gap register is more appropriately read as a work program for data development.",C,Annex C — Evidence gap register,,,53.0,16,4,D14,"Annexes, master tables and gap registers",,1250
MDN,(unlabelled),# 1 Executive Summary,1,Executive Summary,,,4.0,0,7,D01,Executive summary and headline panels,,162
MDN,(unlabelled),"| 741,428residents in the twelvemunicipalities, 2024 Census | | 221barangays | | 178registered barangayhealth stations | | 12rural health units |",1,Executive Summary,,,4.0,0,7,D04,"First contact, facilities and catchment",,168
MDN,EXHIBIT 1,"The five stages, and what fails at each one",1,Executive Summary,,Seven findings,4.0,5,4,D01,Executive summary and headline panels,"Note. Each claim is evidenced in the section indicated. Adapted from Philippine Statistics Authority (2025c); Philippine Statistics Authority and ICF (2023); Department of Health (n.d.-a, 2026); Philippine Health Insurance Corporation (2024); World Bank (2020); Ministry of Health–BARMM (2025); and International Organization for Migration (2026).",204
MDN,TABLE 1,Completion of required worksheet outputs across the cohort,2,"Program, Scope, Evidence and Method",,,8.0,4,4,D02,"Evidence base, scope and method",,245
MDN,TABLE 2,The five evidence layers and what each can carry,2,"Program, Scope, Evidence and Method",2.1,The five evidence layers,8.0,5,5,D02,"Evidence base, scope and method",,261
MDN,(unlabelled),"## 2.3 What the workshop record establishes, and what it cannot carry",2,"Program, Scope, Evidence and Method",2.3,"What the workshop record establishes, and what it cannot carry",8.0,0,2,D02,"Evidence base, scope and method",,285
MDN,TABLE 3,"What the evidence establishes, and does not establish, about disease burden",3,Stage One — The Illness,3.1,What can and cannot be said about cause of death in this province,11.0,5,3,D03,Disease burden and service coverage,"Note. Compiled for this report. This table is the substitute for the leading-cause table that a provincial diagnostic would ordinarily open with, and its purpose is to prevent that table from being invented. The corresponding evidence requests are itemised in Annex C, items 1 to 4.",313
MDN,EXHIBIT 2,"Adults risk-assessed under PhilPEN, by municipality",3,Stage One — The Illness,3.2,"The non-communicable disease profile, and the readiness that is not used",11.0,12,12,D03,Disease burden and service coverage,"Note. Derived from Department of Health (n.d.-a), 2022 indicator year, twelve municipalities of Maguindanao del Norte. The provincial figure quoted in text is the unweighted mean of the twelve municipal values (2.47 per cent); the scorecard supplies no population weights. Municipalities shown in accent record coverage below one per cent. The City of Cotabato, not shown, records 6.45 per cent. The Lanao del Sur comparator is the corresponding provincial figure from the same dataset. The complement is the operative figure: on these returns, roughly ninety-seven and a half per cent of adults in this province have never been screened for the conditions that are its leading reported cause of death.",336
MDN,EXHIBIT 3,Maguindanao had the best facility readiness in BARMM and the worst vaccination history,3,Stage One — The Illness,3.3,The child-survival signature,11.0,7,12,D03,Disease burden and service coverage,,366
MDN,EXHIBIT 4,"Tuberculosis notification against expected incidence, by municipality",3,Stage One — The Illness,3.4,The municipal evidence environment,11.0,12,12,D03,Disease burden and service coverage,"Note. Derived. Notified cases apply the municipal tuberculosis case notification rate (Department of Health, n.d.-a, 2022 indicator year) to the 2024 census population (Philippine Statistics Authority, 2025c); expected incident cases apply the WHO-estimated Philippine incidence of 625 per 100,000 (World Health Organization, 2025) to the same population. Provincial aggregate: approximately 1,285 notified against approximately 4,634 expected, a detection ratio of 27.7 per cent. Three cautions attach. A national incidence rate applied to a provincial population establishes order of magnitude only, and the WHO estimate carries a 95 per cent uncertainty interval of 344 to 1,020 per 100,000. A 2022 notification rate is applied to a 2024 population. And the municipal spread of 70.3 to 303.6 per 100,000 — a fourfold range, against the eighteenfold range recorded in Lanao del Sur — is narrow enough that it measures case-finding effort rather than disease distribution. The City of Cotabato, not shown, notifies at 714.6 per 100,000, more than twice the highest municipal rate; that is an attribution artefact of city facilities notifying cases resident elsewhere and is a reason not to fold the city into provincial tuberculosis planning.",391
MDN,(unlabelled),"Section 17(b)(1)(ii) of the Local Government Code of 1991 assigns the maintenance of the barangay health centre to the barangay, and Section 17(b)(2)(iii) assigns primary health care, maternal and child care and communicable and non-communicable disease control to the municipality. The national planning benchmark applied to that assignment is one barangay health station per barangay and one rural health unit per 20,000 population (World Bank, 2020, p. 130).",4,Stage Two — First Contact,4.1,"The denominator: 221 barangays, 178 registered stations",16.0,0,7,D04,"First contact, facilities and catchment",,433
MDN,EXHIBIT 5,Forty-six of 221 barangays have no registered health station,4,Stage Two — First Contact,4.1,"The denominator: 221 barangays, 178 registered stations",16.0,11,12,D04,"First contact, facilities and catchment","Note. Derived. Barangay counts from the Philippine Standard Geographic Code (Philippine Statistics Authority, 2025b); station counts and their barangay assignment from the project-held DOH/NHFR facility extract (Department of Health, 2026). Three same-barangay station pairs within the twelve municipalities were resolved to single barangays before counting — in Parang, Barira and Kabuntalan — including Parang’s “CABUAN” and “KABUAN” records, which are almost certainly one facility recorded twice. Three further pairs sit in the City of Cotabato and are outside the provincial count. Registry incompleteness is disclosed and is material in the other direction as well: the workshop record maps 207 service locations across the same twelve municipalities against 224 registry records, so the true station count is a floor rather than a complete inventory. The City of Cotabato, not shown, records thirty-nine stations across thirty-six of its thirty-seven barangays.",447
MDN,TABLE 4,"First-contact infrastructure by municipality, ranked by population",4,Stage Two — First Contact,4.1,"The denominator: 221 barangays, 178 registered stations",16.0,14,10,D04,"First contact, facilities and catchment","Note. Population and barangay counts from Philippine Statistics Authority (2025b, 2025c); the twelve municipal values reconcile exactly to 741,428 and to 221 barangays. Facility counts from the project-held DOH/NHFR extract (Department of Health, 2026). No BHS is the barangay count less the count of distinct barangays carrying at least one registered station. Pop/RHU is derived; because every municipality carries exactly one registered unit it equals the municipal population. Labs counts registered clinical, drug-testing and COVID-19 testing laboratories. Shaded rows are the seven municipalities with three or more barangays carrying no registered station; together they account for 40 of the 46. Beds and Labs are printed as zeros because they are measured zeros, not unreported fields.",466
MDN,EXHIBIT 6,"Population per rural health unit against the 1:20,000 standard",4,Stage Two — First Contact,4.2,"The rural health unit against the 1:20,000 standard",16.0,12,12,D04,"First contact, facilities and catchment","Note. Derived. The 2024 census municipal population (Philippine Statistics Authority, 2025c) divided by the count of registered rural health units (Department of Health, 2026). Because every municipality carries exactly one registered unit, the ratio equals the municipal population. Eleven of twelve municipalities exceed the standard, covering 97.3 per cent of the province; Talitay alone falls within it. Seven municipalities exceed the standard by a factor of two or more, and four by a factor of three or more. Two distinct constraints are visible and require two distinct instruments: in Datu Odin Sinsuat, Sultan Kudarat, Parang and Upi the binding constraint is capacity and the instrument is unit augmentation; in Kabuntalan, Northern Kabuntalan and Talitay the binding constraint is distribution and the instrument is station construction. The City of Cotabato, not shown, carries 383,383 residents against one registered unit, which is on its face implausible and is treated in Section 4A.",498
MDN,EXHIBIT 7,Where births actually happen: the administrative record against the survey,4,Stage Two — First Contact,4.5,Childbirth: the twenty-point gap and the eighteen-point municipality,16.0,4,12,D04,"First contact, facilities and catchment","Note. Administrative figures are the twelve-municipality unweighted mean and the municipal extremes from Department of Health (n.d.-a), 2018 indicator year — the last year in which the LGU Health Scorecard carried this indicator. The survey figure is the BARMM regional estimate from Philippine Statistics Authority and ICF (2023), two years preceding the survey, 345 unweighted births. The Matanog figure is that municipality’s own 2025 FHSIS return as transcribed in its Worksheet 2 submission (International Organization for Migration, 2026). The three do not share a denominator and are not alternative estimates of the same quantity; they are printed together because the decision they inform — whether to design for a facility-delivery majority — turns on which is closer to current reality, and the two most recent measurements both say it is not.",550
MDN,TABLE 5,The province with and without the City of Cotabato,4A,The Cotabato City Correction,,,21.0,9,4,D02,"Evidence base, scope and method","Note. Facility, bed and diagnostic counts from the project-held DOH/NHFR extract (Department of Health, 2026); population and barangays from Philippine Statistics Authority (2025b, 2025c); accreditation from Philippine Health Insurance Corporation (2024), which is the one source in this evidence base that reports the city separately from the province throughout. The bed ratio row is the operative one: on the published provincial geography Maguindanao del Norte records 0.78 beds per 1,000 and appears comparable to Maguindanao del Sur; on the geography it actually governs it records 0.49, below Lanao del Sur and above only Basilan.",576
MDN,EXHIBIT 8,What Cotabato City is worth to the provincial averages,4A,The Cotabato City Correction,,,21.0,7,12,D02,"Evidence base, scope and method",,595
MDN,TABLE 6,"PhilHealth-accredited health care institutions, BARMM by province",5,Stage Three — Payment,5.2,The accreditation base,22.0,13,9,D06,"Payment, PhilHealth and financing","Note. Adapted from Philippine Health Insurance Corporation (2024), accredited health care institutions by province and type as of 31 July 2024. Counts are of accreditations, not distinct facilities — rural health units and Konsulta providers overlap in reality and are counted separately here. The “other packages and laboratories” row consolidates animal-bite treatment centres, hospital TB-DOTS, HIV hubs, outpatient malaria packages, ambulatory surgical clinics, Z-benefit packages, catastrophic isolation units and RT-PCR laboratory accreditations. Every row and column of the source table reconciles exactly to its printed totals. Cotabato City is reported by PhilHealth as a separate column and is not included in the Maguindanao del Norte figure, which is the correct treatment and the one adopted throughout this report. The thirteen accredited rural health units against twelve registered units is a discrepancy of record and is carried here because it is what the source states; it should be resolved before an accreditation rate is published.",640
MDN,EXHIBIT 9,"PhilHealth in Maguindanao del Norte: 312,635 members, 19 Konsulta providers",5,Stage Three — Payment,5.3,The conversion rate the province cannot compute,22.0,1,7,D06,"Payment, PhilHealth and financing",,673
